movement_reference,foreign_reference,lot_no,lot_date,departure_date,arrival_date,qty_pigs,qty_doa,fci_declaration,dep_assurance_no,dep_name,dep_address,dep_postcode,departure_cph,dest_assurance_no,dest_name,dest_address,dest_postcode,dest_cph
14383,TSVYPKUSEI,236DLGIQQSNJC,01/07/2018,20190704,20190705,41,7,6629,239881,QOHUYTKVEZ,98 XRCXXMKCQV,EY RAF,95/376/3006,617928,OLACRJOHWN,69 TCSTDKAYQW,HK JVL,48/693/2905
206978,ECEJXQNAXG,248PLLJODMRFY,21/02/2018,20190421,20190422,138,7,8895,571811,SNYBOGYHZP,55 PUWNGGTWBC,QU DHJ,33/797/1580,134218,GSXXYHSPCD,8 SRZJHNUTAE,RT BYB,57/190/1315
898772,BKGFZTPVKI,162QWVFBFLTQN,10/07/2018,20190617,20190618,170,18,8249,387043,PASGHQHFLF,59 YUAXRDVUTQ,EP ZET,67/787/7308,905329,YDPWUTSAFO,31 EIXHDJSPSW,OE FGA,34/331/2418
86249,IVVVFFKQYQ,973ACRNZCQZTZ,08/12/2018,20190101,20190102,60,4,1706,904161,KTETSDKGNJ,99 SEGGTFHXRG,IZ RAY,12/324/7713,401884,YAEVOXEEGW,14 DOKJKGWJNP,MZ RRR,15/957/8528
61131,BUANXXUHRW,341UJAWAMMGWJ,24/10/2018,20191218,20191219,182,22,6855,91578,WJFMDIANJX,41 TDSWKSMRVH,LL KVP,18/689/7210,679180,XEVOUFJYAX,85 YPMSGGFIBF,KU XDU,62/404/6205
343028,JDHDHMGSRE,996IEXTUDKOMT,03/02/2018,20190221,20190222,157,22,3300,598061,IAQKZOJDYO,22 TAZPXJTVDT,PF BFU,70/736/7684,636449,KOWQHTETUG,94 XGWIBIQRKK,CX QXM,39/103/5541
664672,EPOYKXPGZM,520PDCLNZAUIR,02/11/2018,20190717,20190718,101,10,3795,925498,JUQNWIXUVI,17 MWSSRNJMNS,HG DWC,77/713/5478,699871,USMQABBFED,24 ZFNQGAJIBT,DC LQP,49/940/1336
983546,EYYSIBBGUU,578UTVMDWPKCT,20/03/2018,20191115,20191116,117,14,7555,138839,LNEIGFOTUL,64 LIWIEGIDFT,BI BVP,47/946/7562,329566,RFDVUSTUEG,5 VKHJNRRCYK,UN LBN,14/493/9281
26020,HOQQBXADKA,340JYOZRJDEVA,17/02/2018,20190120,20190121,174,2,9914,395639,QBUEBMKOSC,62 PWXXSUPCAC,TX YQU,34/467/9102,460343,PIUBSSMRWH,97 UHHQXAQRMA,OF NEZ,44/417/1954
394005,CLGVOZZKCN,856PHHRYCZHYN,08/10/2018,20190713,20190714,137,7,9061,932216,CCTRCRGLBY,7 ZFUNJPFJUB,WD JPW,82/453/3870,521914,WVZMLMYLBA,12 IRGTIPHTGT,OE BTU,81/183/6253
20335,VALLKXSZOX,958WYQCCHZEST,08/12/2018,20190120,20190121,165,30,2368,746878,ANUZTYOJZB,25 VGNVMGLJKP,CR AFV,78/609/2545,864831,NMTIRMFPFU,86 RGHBNETZQL,UE DSS,58/308/6720
242131,CITIETHMVM,809GETKRSCRIS,03/03/2018,20190112,20190113,167,4,7651,702010,JHEHVALAMF,3 CSXPKWFKKU,GP WRT,31/473/4857,772751,FCPMCSYOZG,97 UYWBNTDPGJ,YR UNE,16/873/3120
429402,PEACZSZMXK,456WFQBNHPLKY,17/10/2018,20190813,20190814,105,3,6032,629135,MUKETQTPYW,54 TOOGQMCOWL,BK ZMB,30/608/9795,191073,UQSUMEMXWD,62 DSYBAWNEUX,ON WRQ,12/661/2744
737568,KBLBBUGFDY,604IAXNFCJJUA,03/07/2018,20190319,20190320,106,9,9422,621990,BYPDKAUULX,31 CDVIAMOZYC,NC RJE,69/196/5890,948401,MROJNFYKPR,61 IMTJBYBRHC,TA KQA,21/858/3667
354932,RQCVKUZSWE,311JZOIFUHFRC,26/06/2018,20190824,20190825,156,30,7591,806057,XZXNVHUHAU,79 DAQZSIEBNE,RQ VOW,41/434/4415,231518,VAZDZJTPFQ,64 NSPHQDLLET,DX BDC,17/454/1844
154513,UTEYRQFTRT,769NIXIRPWACB,17/11/2018,20190524,20190525,63,10,4120,872557,MLKOETEKII,79 SCMCDDRKAA,HC QIA,65/240/3174,297316,KNOAMNHIYK,40 QEEMXXKMMF,OU MUP,28/732/9624
719516,RBSIPLCFPD,189ZMGZQPCDDR,27/12/2018,20191204,20191205,59,11,2936,776204,LMZNPSLSUL,52 SXASTXWBQZ,ID CPQ,20/567/2533,221924,NTUEJHQUUK,92 VPETQRICMQ,IP NZY,45/564/2870
515992,XHQJVZQBAS,640RXWFYKGHUA,02/06/2018,20190719,20190720,135,2,5575,527162,JSPFAOPUFJ,33 RBUNLTZIDG,QM YCF,20/744/9188,695407,XQXDQFXTOP,72 HHTHQRSKOM,PC ZYD,12/828/5583
182126,FIFPGGHDKK,257UJZTEEFXHO,21/10/2018,20190127,20190128,169,11,3351,483683,KTQLNSWPZR,95 ABWMRGWZFF,DP UFG,71/736/3034,537849,WFFTSXVCAR,60 LDVCRMAFPH,DY WAB,62/245/8420
894457,OBJDAELVRI,384KIUSJQQQLT,11/04/2018,20190707,20190708,112,17,4895,573724,VYLFXWKXDY,67 QLHNKIMOBV,AG AFQ,79/146/5527,405812,OXJKBKNHGF,52 CAUBCBMXCM,KP ULI,37/804/4098
769902,VEGKPLDOXW,339AYCIVUIYGW,24/07/2018,20190207,20190208,111,1,5490,239881,QOHUYTKVEZ,98 XRCXXMKCQV,EY RAF,95/376/3006,434671,DTWGDXBISA,10 SBXZLTVUAJ,GL IVJ,76/796/8354
85924,ZEBNHLCBNS,153MIYCQGHSUQ,11/11/2018,20190120,20190121,140,22,4272,859851,RLMBYRKGAH,30 JYFPDWFTCA,XE CAQ,46/655/5777,881048,JXOUAZUKDL,80 CLCTLNHEXH,CY BUU,71/542/7150
642801,ZORGRETWKO,548QRJJVYGSBY,06/04/2018,20190320,20190321,97,13,6929,407372,QXZEFSFHCO,64 DMTKKJOKTJ,DJ HTH,21/771/7140,640181,YAPNUMTPYW,40 YQIREXPVHI,WO OHX,21/733/9411
650476,KJREOTRKXL,574XDANZOWLVP,12/02/2018,20190119,20190120,64,7,5952,806057,XZXNVHUHAU,79 DAQZSIEBNE,RQ VOW,41/434/4415,968943,YLSDTVAITX,93 MCNGRMPQST,GB FRX,76/613/8076
646257,BGQZNWCODT,156ILHZAKDDNA,07/12/2018,20190320,20190321,87,10,2609,881057,PLLAIUMSEE,58 MRKXOVNBRE,QW GES,75/543/1182,650477,UGEMKKSXUH,4 YMMOIYBJLQ,CG MRB,90/757/7844
613181,NPMSVBYLRV,870PZECNOTTWZ,19/05/2018,20190111,20190112,106,11,7321,50257,JZSPMXKGJZ,11 QLKADABZJO,YI CFL,77/693/5635,991087,CZQRMKLIAX,1 SXWEAWAATT,FZ ZEC,24/630/2808
880845,DPNEARHDLJ,452KGBKSUUZKD,04/03/2018,20191012,20191013,164,3,8284,480134,DVYADIWERK,15 DCPJFXCJKV,QQ LUE,86/867/7476,800223,EFRGCFHUSH,41 PJDFGBTOPB,KV LWA,64/414/8990
41834,UVKZTEMAEC,188OSIXYGWKHE,04/12/2018,20191014,20191015,148,22,4911,721908,OZEWQCEOIM,80 ZFNBYBQGVV,GM GXZ,45/679/9202,409915,WJNGQOMTCN,65 TPVGXGDGCD,UY SWZ,68/783/8280
952393,JKXECHKRKS,985EJXRZAXJUS,17/09/2018,20190624,20190625,66,12,5313,405812,OXJKBKNHGF,52 CAUBCBMXCM,KP ULI,37/804/4098,75822,VTPCYHYLRP,98 KXIOIEMAZG,EE AGX,31/931/4017
272889,LGNVEMLXGN,917ZQPTBOATUY,18/10/2018,20191015,20191016,156,3,6531,480134,DVYADIWERK,15 DCPJFXCJKV,QQ LUE,86/867/7476,621990,BYPDKAUULX,31 CDVIAMOZYC,NC RJE,69/196/5890
448309,IALKRYWKTU,114KDJGMSGCJR,11/07/2018,20190607,20190608,184,13,9827,86356,KREOIGIRAQ,65 YGBXFYLSBL,FC KAZ,50/311/4527,511944,GFVPSUPMFW,30 EADNWCQBSS,GH PHG,16/801/3047
176624,XNNELFFXRD,116DYFBPAEAIN,13/03/2018,20190502,20190503,87,15,2272,557745,TEVKNSYWQY,94 XGEDCOSQXS,ET CFN,84/830/7382,651389,SBJYMPKDZU,82 EWECGKLKYF,RG PVL,85/994/9681
823725,EOWNMFTDQL,696GRNVCWULPC,26/12/2018,20190818,20190819,49,2,3075,168972,VQXTSGJXJQ,90 MPETGKMODQ,ON PSG,26/196/6229,527162,JSPFAOPUFJ,33 RBUNLTZIDG,QM YCF,20/744/9188
641264,NJXYELZNTQ,661WNXGEJMBOH,28/04/2018,20190425,20190426,187,26,6699,191073,UQSUMEMXWD,62 DSYBAWNEUX,ON WRQ,12/661/2744,765888,PWNGBDHNBS,35 AUSPUYADPD,CH TRM,51/515/8816
839748,CLAMZGINYM,773VWULANTHOB,10/08/2018,20191107,20191108,56,1,8713,281863,XAKPYFNSJS,23 LMVWZKMAVP,RV GQK,33/713/1793,996219,UYRYPXNTGU,10 VBLBFDSAFH,TV XCF,52/577/5349
807318,OOSYUELAFN,350DMBQWKLIIO,14/03/2018,20190928,20190929,138,6,1344,864831,NMTIRMFPFU,86 RGHBNETZQL,UE DSS,58/308/6720,706795,LZDYGVGWPA,25 CCZVCKLMZN,LQ TJN,61/424/2009
460784,TWSFFIOROZ,360WEMXHANCDX,17/08/2018,20190503,20190504,159,21,1666,281941,TVYWRMGFBI,63 HPHCOOSDRT,LQ RCV,28/693/6939,75822,VTPCYHYLRP,98 KXIOIEMAZG,EE AGX,31/931/4017
967517,OYMVDMWKDH,941KLVPWSXTVR,04/12/2018,20190911,20190912,84,2,6097,521914,WVZMLMYLBA,12 IRGTIPHTGT,OE BTU,81/183/6253,982913,OIPKCWNNPQ,22 KAYVPBWUUY,GL WHA,67/614/9729
135070,ILKLDXQXZH,423JOWJFXRDAS,16/01/2018,20191009,20191010,96,4,3646,511944,GFVPSUPMFW,30 EADNWCQBSS,GH PHG,16/801/3047,75822,VTPCYHYLRP,98 KXIOIEMAZG,EE AGX,31/931/4017
845668,OHSVUSSPUO,764UFRKMLLKMO,13/04/2018,20190325,20190326,98,1,3098,38482,IIFPIEHWPU,41 QDSNMONIZV,IN DLT,70/581/5748,289951,ZUORMRSLSM,33 JIITDNNWDB,VM JSF,12/927/6771
156246,CHBDXRGYMZ,418JZVOJHNCNW,28/07/2018,20190828,20190829,91,4,5821,641601,ZECMQOCQER,40 TYBHTXUQGM,NX XRW,78/230/1361,959254,OYFCXVTOYL,94 IYOBHBTJWI,YB HWC,69/393/9398
176778,PTYHGGBJDP,867VZZXBYWPBW,19/01/2018,20190127,20190128,112,15,4367,289951,ZUORMRSLSM,33 JIITDNNWDB,VM JSF,12/927/6771,378463,KULTVHDMXP,54 XQZKSYLASC,MC JJT,57/418/6011
422855,RNRQJNERRL,779ZAIPSYWSVD,11/09/2018,20191016,20191017,42,7,7995,13056,FDAHNIMJTQ,56 IUKELWRDSQ,SE BGJ,60/351/1398,831675,ZXFNHQSKVQ,33 QBWVTZCQDC,PL EVU,47/479/9810
477174,MLOOTREUPY,644JVYTEXBDMT,10/01/2018,20190322,20190323,105,10,5709,573515,DFFZOZOGLO,71 INRHTYQCMP,AH TYL,25/923/7192,460343,PIUBSSMRWH,97 UHHQXAQRMA,OF NEZ,44/417/1954
887060,HNIRBSBMQQ,280MAZDQJOVED,07/01/2018,20190801,20190802,133,15,4196,557745,TEVKNSYWQY,94 XGEDCOSQXS,ET CFN,84/830/7382,218759,SVGOCEMOVN,31 LASSRTTORM,TU WIQ,15/442/6278
166138,BDDPYAXXOO,590SZFONZTQHR,11/05/2018,20191216,20191217,33,5,1096,604538,HLSIORWIGI,66 JOLGNDMUVL,OX NNV,46/681/2814,557745,TEVKNSYWQY,94 XGEDCOSQXS,ET CFN,84/830/7382
999127,RTTIYVIWCK,326TTOPKTNCMS,08/09/2018,20190109,20190110,158,10,2568,38482,IIFPIEHWPU,41 QDSNMONIZV,IN DLT,70/581/5748,329566,RFDVUSTUEG,5 VKHJNRRCYK,UN LBN,14/493/9281
906165,ALNBLTYDPO,278OFPPUIZGDJ,02/03/2018,20190805,20190806,60,6,3696,499834,VNIQDCMYHA,84 LQEEARXTNC,OI PJN,73/306/6527,791096,MZBNCOLTXR,6 MUGYBARPMW,AN ECZ,57/373/1691
889115,BLXKYIMXIL,418OHCTVKTNGK,21/09/2018,20190628,20190629,136,7,8726,406130,VYZNCRTPHT,32 PNISRLJABQ,GF XXB,86/954/5700,566990,DROECGZLNU,37 BEXWEMRNGU,DG VSM,75/345/2020
291620,QWJPRRWBQL,243RHGZBBJXCM,28/01/2018,20191007,20191008,98,13,5159,714722,CUDXKNCELL,57 GAIZJLHRJK,YA FDD,64/745/9830,680250,VRIZGRARLI,4 ZSWYJITVLK,KX YQY,86/580/7898
441834,KHHFAHNATF,320BMRUSYEYOX,16/03/2018,20190324,20190325,122,17,9321,189450,LDNRLQFQRD,92 YVAXKHGHKD,ML YTS,52/216/2149,184310,NRGHQZSVTX,65 AKKOWLMNHV,WD REY,88/242/8124
568042,CNBMSEEPOU,669OGOESPOXLE,24/04/2018,20190703,20190704,47,3,9277,807590,XYIRRFRUFI,83 KLCMYUCZYX,FG CAX,96/653/1479,149277,DITENXUMBZ,54 IZFZZCDZJU,MQ HCR,57/321/3983
329582,RGTWMGAWPA,241BVPOFCNOKV,03/06/2018,20190822,20190823,98,5,9089,602051,BKLFQGUYFR,5 XBQBFNUFHX,UC PFP,99/551/3187,702010,JHEHVALAMF,3 CSXPKWFKKU,GP WRT,31/473/4857
650773,EFRVTYRRDS,119PWRVNORMRV,11/03/2018,20190721,20190722,136,4,8967,844116,JZCYLFXVVI,80 BSDZTUZDYG,EC GTI,91/238/4716,166831,CQFXWYJOZS,3 YWPZQPLKRQ,WR MSM,10/533/5657
154167,TFWYUJIBUE,236MMCWSGHMJT,03/06/2018,20190925,20190926,41,1,7741,636449,KOWQHTETUG,94 XGWIBIQRKK,CX QXM,39/103/5541,412236,XXMNKZYIAR,29 IAVOOHSNLB,ZP VHR,26/145/5364
12335,YOETQKHDHT,891SMXQBPCZIN,08/02/2018,20191208,20191209,131,8,2967,497396,FSTCANUOMD,69 ALLQOHZAIO,UH RWS,67/985/6441,636449,KOWQHTETUG,94 XGWIBIQRKK,CX QXM,39/103/5541
955968,RTNAJKSEOM,350JADDBUTRXL,17/07/2018,20190408,20190409,108,12,3840,340152,UTJJQAVWNM,26 UNSCMXVTXL,PC OGV,85/466/6078,598061,IAQKZOJDYO,22 TAZPXJTVDT,PF BFU,70/736/7684
259581,QTPPWEWDTE,996YGYPDCIJVL,24/08/2018,20190127,20190128,109,9,7495,991087,CZQRMKLIAX,1 SXWEAWAATT,FZ ZEC,24/630/2808,860713,LCJBGEZICT,93 HNVTNLATII,JA DQG,51/176/5272
433398,PJMWBCVBRR,652LGYTJFFTSO,04/05/2018,20190105,20190106,164,6,4584,831675,ZXFNHQSKVQ,33 QBWVTZCQDC,PL EVU,47/479/9810,519473,SXRBZMPDXK,61 CDJPTJWGQA,GS VHD,81/124/5621
479439,BKCQJEVVKG,951OYIHUVMPRE,25/09/2018,20191121,20191122,82,9,8848,567201,PBFPOMVKOW,13 ERTXFREEUE,DL BGG,20/645/8856,963702,HZAHQPVLES,49 VOWGGOTYAW,HA FPU,88/694/2628
50852,PDSHBCZFOW,266BXOJLYQDOJ,01/04/2018,20191015,20191016,53,9,9621,782884,BXZFSWJKLQ,94 OKHTZLIACM,AG CQT,44/372/4337,556329,ZEHPLIKJGD,82 CUESHYVVVN,MD BJS,59/980/5898
648111,ESBAUXLXCL,560SMGPUICMWF,21/06/2018,20190121,20190122,134,7,4640,483670,KGQGQOHJJE,30 ZSCMIAEAEF,CX LFD,52/884/1995,822145,TTZHTMMTNL,82 VJQPTJXTLU,OZ AOR,41/891/3641
98792,UFXTGYLJLD,916DRVVXMFXKB,24/01/2018,20190607,20190608,95,14,5092,991087,CZQRMKLIAX,1 SXWEAWAATT,FZ ZEC,24/630/2808,650477,UGEMKKSXUH,4 YMMOIYBJLQ,CG MRB,90/757/7844
352789,VCXQNVFMTG,686KXMPDAAFUR,02/01/2018,20190722,20190723,142,25,4551,963702,HZAHQPVLES,49 VOWGGOTYAW,HA FPU,88/694/2628,59225,WLMHWLXWTY,91 KTQORKTJBS,RD GLI,97/702/1863
42417,LDOXUPOTTZ,278IWNGLREPZT,17/10/2018,20190117,20190118,117,3,6792,435492,FDERQXIAYD,88 KCEQYTTVGL,DH LXH,84/613/2906,990691,HBMZIWPAXY,18 EMYNHVBBXS,DE XKV,70/624/9384
48351,RWFYOHPNVE,357KSRGKSSALY,20/08/2018,20191126,20191127,174,29,8173,59225,WLMHWLXWTY,91 KTQORKTJBS,RD GLI,97/702/1863,905329,YDPWUTSAFO,31 EIXHDJSPSW,OE FGA,34/331/2418
479123,ZUXVOXHJRK,893TJUMYVRTGO,23/10/2018,20191014,20191015,183,6,4915,702010,JHEHVALAMF,3 CSXPKWFKKU,GP WRT,31/473/4857,665190,SUUGPXYQPH,10 PRBFAFQHCX,ML GYH,40/506/4101
697045,EPRUGOLLHT,190AGBBQNZRFP,09/01/2018,20190404,20190405,145,26,6158,337383,CEXWAZRVIM,79 LEZVXEDXRB,UV NGQ,90/252/6096,722152,ENSTHPISDV,86 EOXEGBEENV,BV YSO,91/427/3924
132623,SARDPMKACF,633WTFKGOBPHY,14/08/2018,20191027,20191028,184,29,2424,722152,ENSTHPISDV,86 EOXEGBEENV,BV YSO,91/427/3924,616774,ZMCGZNAUCU,86 JGHRMXKLIB,CG EOT,44/560/4357
482532,WHWDLXVYHI,418WUYMLRGSLJ,04/02/2018,20190222,20190223,161,23,9376,859851,RLMBYRKGAH,30 JYFPDWFTCA,XE CAQ,46/655/5777,714722,CUDXKNCELL,57 GAIZJLHRJK,YA FDD,64/745/9830
193223,JLHTVUINQJ,925WOSUGPYPAG,23/11/2018,20191002,20191003,184,8,1101,872560,ITWIKQVZSH,17 RJTFIBYJDC,LA ERL,25/591/6144,772751,FCPMCSYOZG,97 UYWBNTDPGJ,YR UNE,16/873/3120
966251,BRORYZGLZD,112RMWUNSDLJO,20/12/2018,20190504,20190505,68,7,6795,275698,GVLJNNTZEJ,4 GAMBJIMFOD,EG PNF,31/702/1754,376454,RNZBHLYONP,64 XCTUIZVGYW,SA UPB,30/435/3761
501884,TFAURCGPBV,548AGBQOELGSI,03/07/2018,20190925,20190926,58,5,1752,941970,NYKOYWOAPJ,38 IVHWABUILP,NX WBG,32/659/7081,795151,WJINPDYGPD,84 WPZTQFRHYE,VJ KRT,13/996/5427
807836,FVXRLCPIPL,539XREMRKNTFV,03/03/2018,20190806,20190807,183,22,5811,982913,OIPKCWNNPQ,22 KAYVPBWUUY,GL WHA,67/614/9729,928425,OTFNNLSBFV,36 WQKGOQDXAH,SZ NZI,23/282/2424
465092,NPAKTFMMHN,279LDXNIDYTBZ,27/04/2018,20191225,20191226,59,1,3303,170512,MMRKIZZBKF,55 DHPNLSLGFV,FA YGF,10/899/1847,376454,RNZBHLYONP,64 XCTUIZVGYW,SA UPB,30/435/3761
990582,GLZUYDZPBR,669ZVJIXWFTRQ,01/01/2018,20190207,20190208,171,8,3517,75822,VTPCYHYLRP,98 KXIOIEMAZG,EE AGX,31/931/4017,990691,HBMZIWPAXY,18 EMYNHVBBXS,DE XKV,70/624/9384
853543,LMKHOYEDZR,871PIXFKKGXMO,04/10/2018,20191101,20191102,50,3,1649,715492,DSOFWVRVHB,51 TKECGJYNJL,KI AIV,83/155/8655,791702,FXCEHLNFOB,86 AHMNXHDDSA,YL GSA,12/435/4034
697376,AVITEDLVJB,643VZCEMXBYSX,20/04/2018,20190811,20190812,77,14,5784,49541,ZEQUTDTKZW,94 ISNIPCSTWS,UH BJZ,79/642/5562,847041,AUYAQBQKKX,96 PBICISKTAU,JJ IMF,73/588/4268
71408,SAOLPBCYDF,897EKBYKMZITK,21/09/2018,20190115,20190116,124,19,5014,556329,ZEHPLIKJGD,82 CUESHYVVVN,MD BJS,59/980/5898,435492,FDERQXIAYD,88 KCEQYTTVGL,DH LXH,84/613/2906
496388,XKQTUHDYGQ,196KKHBRLMAQJ,04/10/2018,20191215,20191216,117,14,7801,994338,BZHQMVNJFS,47 BAYLONOQPE,YI OEF,95/123/9647,166831,CQFXWYJOZS,3 YWPZQPLKRQ,WR MSM,10/533/5657
764379,FZRTDGGICE,492ATIXWNNFER,08/12/2018,20190717,20190718,55,5,5970,522855,CBAAFWCBDH,5 XACGZZOXHC,VX ZJY,21/199/3081,746085,VFWRBUSMYD,84 ICYWCRJGND,GG NOY,46/908/7292
67290,BQNGFYBEYQ,689EWCVPCOXCP,20/12/2018,20190822,20190823,72,3,1436,840794,LITEIJTNPU,14 GZJFLESDEJ,JS MNH,68/796/1039,233495,REMWWBGGWZ,79 CEMFAKWGHZ,GH KHG,29/344/9849
106359,GCQWWLQOTR,484VKECEPETNI,28/03/2018,20191228,20191229,130,18,2669,629423,EOQVIKTDLF,3 EPTHPYSFYN,SZ BSG,13/213/4477,342005,ZBKBQOEQVH,90 BUTWXOQIEV,WW BKY,63/841/5112
149523,FLVIIFACKI,457CQPQAAZLMR,03/11/2018,20190522,20190523,63,4,4709,168972,VQXTSGJXJQ,90 MPETGKMODQ,ON PSG,26/196/6229,395837,CLPWXWVZSO,34 MMUYNKKALF,RB YJO,90/599/4706
969715,AJNXWUIYTR,170DBKHNIGQYH,17/11/2018,20190107,20190108,46,8,8814,598061,IAQKZOJDYO,22 TAZPXJTVDT,PF BFU,70/736/7684,746878,ANUZTYOJZB,25 VGNVMGLJKP,CR AFV,78/609/2545
865540,YJKEPJRYZU,792RAPFYLFIGP,04/08/2018,20191226,20191227,59,8,8137,566990,DROECGZLNU,37 BEXWEMRNGU,DG VSM,75/345/2020,771953,ETSBEVTQXV,19 INWEWPJEOB,YH FHE,10/956/6375
610937,DAMHBYJCYV,522ENVKEAPVMB,26/10/2018,20190304,20190305,81,8,5077,511944,GFVPSUPMFW,30 EADNWCQBSS,GH PHG,16/801/3047,862227,BOVGPIPCER,1 ESHKSOYQJU,SK SDY,40/955/1066
83336,PKBZKXPLJG,637LHZIPTXKND,25/11/2018,20190501,20190502,135,24,1567,204607,XUJTCEOQTR,73 UYAHSHIGXQ,AG MQA,68/450/6037,120117,SNLSZHPPBJ,56 OLAPDZMFDP,KV VXT,71/576/8674
545738,VQNTXUMROZ,836MZEOYLYATU,23/04/2018,20190807,20190808,79,8,6927,788798,AEAIESAWXB,28 DRTROVNHBE,QX ULF,28/945/6017,353833,WGIPSKDKZK,26 EPAZUJVMSV,NF CQY,55/521/8540
229579,KXANHFKKVW,215VMIPPPYEOI,22/01/2018,20190318,20190319,49,0,5301,50257,JZSPMXKGJZ,11 QLKADABZJO,YI CFL,77/693/5635,401884,YAEVOXEEGW,14 DOKJKGWJNP,MZ RRR,15/957/8528
568654,OPZPJYECBT,136ATBIDWIIGV,05/09/2018,20190903,20190904,120,4,7548,921699,TOCWJGEJEF,25 ASZKARRMPC,JC JFU,89/635/3615,106024,PMMSGSSDAX,9 LHZQPWPEJA,RL WNX,79/777/3424
979734,PFEGXYNLHA,448PVYTIKPKPQ,21/09/2018,20190601,20190602,74,4,9421,864831,NMTIRMFPFU,86 RGHBNETZQL,UE DSS,58/308/6720,281941,TVYWRMGFBI,63 HPHCOOSDRT,LQ RCV,28/693/6939
468602,KYUMZENKUY,930QUQQNXLGET,11/08/2018,20191028,20191029,163,22,1842,748383,UYKNUBIUZB,3 CCPVCWKROE,GR XCE,37/795/5662,511944,GFVPSUPMFW,30 EADNWCQBSS,GH PHG,16/801/3047
155990,GZRZEEVUYS,714QQYICOPRYO,01/11/2018,20190506,20190507,87,15,6115,86356,KREOIGIRAQ,65 YGBXFYLSBL,FC KAZ,50/311/4527,401884,YAEVOXEEGW,14 DOKJKGWJNP,MZ RRR,15/957/8528
320990,ZOBVGGBSHV,612FCZRCWXHSD,19/01/2018,20190220,20190221,161,27,6455,635476,XZEUCVCMBW,26 JZEOENSWSV,CT EQH,32/532/8560,204607,XUJTCEOQTR,73 UYAHSHIGXQ,AG MQA,68/450/6037
581785,IQFOGHNDRO,826HOVNIMIQWS,14/12/2018,20191017,20191018,109,14,2420,272511,XEHRXZSJEA,42 MMYOSGVYIK,QV RNN,41/788/6464,378463,KULTVHDMXP,54 XQZKSYLASC,MC JJT,57/418/6011
131022,DZFEBURFSV,148RVAHFHZFJB,16/04/2018,20190518,20190519,77,9,8862,585483,FHCAVSCTYS,3 KRHZJMEERA,NT IEQ,99/478/5120,260122,VDQQVZSPGT,18 XLZVJWCFJN,DZ JHV,19/643/6151
